g_contrainte,note,e_acces_dep,remarques,referent,globalid,i_prop_revet,g_niveau,e_note,nom,g_n_prog,g_com_dep,s_route_tgc,g_nom_iti,i_note,e_interpretation,e_balisage,s_note,i_nuissance,g_temps,e_sign_dir,lien_gpx,deniv_num,id,g_pt_dep,g_prc_goudron,dist_num,i_ens,g_diffusion,g_long,i_nat_cultu,e_pan_info_dep,g_balisage,i_site_emblem,s_route_gc,g_dev_cumul,g_usage,e_stationnement,s_autre,g_ref_editeur,g_note_prc_parc_priv,g_note_nb_parc_priv,temps_num_heure,temps_num_minute,g_note,i_revet,SHAPE__Length,objectid
NON,59,2,,C.C. Bugey Sud,{650A585B-FE8B-4AB4-A57F-FD603FFF3CA9},3,Moyen,18,Circuit_des_Sarrasins,PR01-1078,Culoz,7,Circuit des Sarrasins,16,0,6,20,2,4h00,6,Circuit_des_Sarrasins.gpx,450,9,Chatel,0.05,10,0,OUI,10 km,8,2,Jaune,0,7,450 m,pédestre,2,6,Pas d'édition,5,0,4,240,5,3,8466.55733246605,2492
OUI (neige),60,2,Site emblématique : Grand Colombier,C.C. Bugey Sud,{C9A2D48A-3EC5-40BF-9ABE-6935D2CA2B5B},3,Difficile,20,Circuit_des_scioux,PR01-1016,Culoz,7,Circuit des Scioux,20,2,6,20,2,5h00,6,Circuit_des_scioux.gpx,325,10,Carrefour de la Sapette,0.11,13.1,2,OUI,"13,1 km",8,2,Jaune et blanc/rouge,2,7,325 m,pédestre,2,6,L'Ain à pied (2015) / RP Bugey (2013),0,0,5,300,0,3,12918.1028591008,2493
NON,64,2,Site emblématique : Maison d'Izieu.,C.C. Bugey Sud,{14369AF0-CBCF-4D92-AF03-5BD61B56349D},2,Facile,20,La_croix_St_Clair,PR01-1081,Izieu,7,La Croix St Clair,14,2,6,20,2,1h35,6,La_croix_St_Clair.gpx,207,14,Maison des enfants d'Izieu,0.59,4.2,0,OUI,"4,2 km",8,2,Jaune (en projet),2,7,207 m,pédestre,2,6,Nouvel itinéraire en projet CC Bugey sud,5,5,2,95,10,0,4392.68819156283,2494
NON,53,2,Site emblématique : Vignoble bugiste. Table d'orientation au belvédère. ,C.C. Bugey Sud,{DBC3A765-6DDF-4E69-85E1-3258095A9CC0},2,Moyen,18,La_montagne_St_Benoit,PR01-1070,St-Benoit,7,La montagne de St-Benoit,15,2,6,20,2,4h00,6,La_montagne_St_Benoit.gpx,480,16,salle des fêtes de St-Benoît,0.21,12,0,OUI,12 km,6,0,Jaune,2,7,480 m,pédestre,2,6,RP Bugey (2013),0,0,4,240,0,3,11582.951166084,2495
OUI (neige),49,2,Site emblématique : plateau de Retord. Balisage peinture peu entretenu + signalétique directionnelle non conforme à la chartre car surnombre de lames. ,C.C. Bugey Sud,{D8523E5A-CEE5-4C4B-AD75-B73DDE2A2024},3,Moyen,12,La_ronde_des_Plans,PR01-1031,Haut-Valromey,7,La ronde des Plans,17,0,3,20,2,3h00,3,La_ronde_des_Plans.gpx,160,17,Maison des Plans,0.12,9,0,OUI,9 km,7,2,Jaune et blanc/rouge et jaune/rouge,2,7,160 m,pédestre,2,6,RP Bugey (2013),0,0,3,180,0,3,8684.05847207123,2496
OUI (neige),51,2,Site emblématique: l'Arvière rivière sauvage. Balisage et équipement mobilier signalétique prévu par la CCBS.,C.C. Bugey Sud,{C7F6A91D-2A25-46B2-A704-C63E81FD8D64},2,Facile,10,La_vie_du_Loup,,Champagne-en-Valromey,7,La vie du loup,16,0,3,20,2,2h10,3,La_vie_du_Loup .gpx,157,18,Office de tourisme,0.48,7.1,2,OUI,"7,1 km",6,0,Non balisé sur la moitié ensuite balisage GRP),2,7,157 m,pédestre,2,6,Pas d'édition,5,0,3,130,5,2,7208.48394194254,2497
OUI (neige),61,2,,C.C. Bugey Sud,{96DE782B-A68A-4B25-8C1F-D5C08CC19EA8},2,Facile,10,Le_bois_du_Geay,PR01-1028,Haut-Valromey,7,Le Bois du Geay,11,0,3,20,2,2h30,3,Le_bois_du_Geay.gpx,200,21,Eglise de Songieu,0.25,8,0,OUI,8 km,4,0,Jaune,0,7,200 m,pédestre,2,6,RP Bugey (2013),10,10,3,150,20,3,6100.06109987425,2498
OUI (neige),65,2,Site emblématique : Grand Colombier,C.C. Bugey Sud,{990B2427-2FBD-4AF3-A328-41086D38F0BE},3,Difficile,20,Le_Grand_Colombier_depuis_Culoz__AR,PR01-1014,Culoz,7,Le Grand Colombier depuis Culoz (A/R),20,2,6,20,2,8h00,6,Le_Grand_Colombier_depuis_Culoz_AR.gpx,1300,24,Gîte d'étape de Culoz,0.08,26,2,OUI,26 km,8,2,Blanc et rouge,2,7,1300 m,pédestre,2,6,RP Bugey (2013),5,0,8,480,5,3,12825.6033730311,2499
NON,54,2,,C.C. Bugey Sud,{ED0624CE-CF04-4485-92F5-99B19A3BBE82},3,Facile,18,le_Jugeant,PR01-1077,Culoz,7,Le Jugeant,16,0,6,20,2,0h45,6,Le_Jugeant.gpx,60,26,Parking de la salle-des-fêtes,0,2,0,OUI,2 km,8,2,Jaune,0,7,60 m,pédestre,2,6,Pas d'édition,0,0,1,45,0,3,2085.72866462314,2500
OUI (neige),57,2,"Site emblématique : Chartreuse d'Arvières, l'Arvière rivière sauvage, Réserve biologique intégrale de la forêt d’Arvière. Passages délicats sur chemin surplombant le ruisseau d'Arvières. ",C.C. Bugey Sud,{207BDC80-7DD5-490C-9870-902ED4F802D2},3,Moyen,18,Le_sentier_des_Chartreux,PR01-1024,Lochieu,7,Le sentier des Chartreux,20,2,6,17,2,3h30,6,Le_sentier_des_Chartreux.gpx,570,29,RD120,0.06,8.5,2,OUI,"8,5 km",8,0,Jaune et jaune/rouge,2,7,570 m,pédestre,2,3,RP Bugey (2013),0,2,4,210,2,3,8307.63265667319,2501
