"geometry","juridique","pdipr","nom_commun","deliberati","nom_juridi"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[238366.997148824,6868418.201069547],[238363.036229372,6868416.096562393],[238358.039847212,6868412.155545511],[238356.657104692,6868409.701551152],[238355.156032017,6868399.564099354],[238355.671371695,6868393.210863788],[238356.545611348,6868387.223500913],[238356.598135278,6868384.161869122],[238354.701976234,6868381.058426665],[238346.425504554,6868374.025712843],[238340.72206125,6868368.661665903],[238337.527630871,6868364.576881221],[238338.350124344,6868357.114197053],[238339.653267437,6868350.30355622],[238342.473640802,6868338.539107359],[238344.507693844,6868326.837363428],[238347.382816856,6868315.758904608],[238349.656261436,6868307.884535891],[238351.905464231,6868304.253120816],[238354.385238807,6868300.44753994]]}","chemin rural","2025-12-15","LANGOAT","2025-03-07","ZH(273,274) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[332339.246281806,6833570.17433142],[332341.916733976,6833574.376577512],[332341.962530481,6833580.002593711],[332340.433280456,6833587.340340679],[332338.859084402,6833592.839633678],[332340.387957525,6833596.5048282],[332343.168292819,6833599.220438546],[332347.86645617,6833601.82050165],[332350.97379231,6833604.19366823],[332351.465572903,6833605.678709434],[332349.537451267,6833608.212788376],[332344.740686088,6833611.226465019]]}","chemin rural","2025-12-15","LA VICOMTE-SUR-RANCE","2025-06-12","A(23) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[230646.227479169,6801867.948085635],[230645.162871578,6801868.77667609],[230638.234654532,6801879.707247695],[230628.14844705,6801898.672300824],[230609.853608252,6801930.06715588],[230600.411792688,6801949.57900673],[230590.858519708,6801972.691070559],[230583.667637461,6801992.820391905],[230573.271249916,6802020.389301024],[230563.773968361,6802041.701042669],[230558.460753213,6802050.307265573],[230537.097347573,6802080.950205654],[230528.268444025,6802100.612111893],[230520.139361956,6802124.008589134],[230513.266773808,6802153.090060818],[230508.644996796,6802182.788919529],[230505.55015663,6802216.554872273],[230503.35424992,6802249.041041061],[230508.307984467,6802278.380857646],[230515.958018114,6802303.902694933],[230516.188174176,6802319.246231178],[230512.554088341,6802352.677070384],[230513.323148651,6802383.317674103],[230509.616546183,6802401.969328172],[230506.859262487,6802410.980298484]]}","chemin rural","2026-06-22","MELLIONNEC","2025-12-18","CR999"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[239989.401118014,6843041.586552103],[239991.177027217,6843075.910242066],[239996.557833181,6843248.646230953],[240002.637422913,6843389.076880992]]}","chemin rural","2026-06-22","MOUSTERU","2025-12-12","ZP(44) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[273477.464669782,6840634.201593742],[273479.028045913,6840642.21119845],[273460.396504487,6840659.071293486],[273428.557303184,6840688.760138846],[273407.301450505,6840707.35037889],[273383.498239763,6840707.543018793],[273359.003736184,6840707.521393541],[273355.146659874,6840697.698913467],[273333.345743035,6840663.757178179],[273315.691881212,6840634.71872257]]}","chemin rural","2023-05-02","SAINT-BRIEUC","2022-05-09","AD(9,308) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[255504.242906291,6871489.210776866],[255503.092206958,6871491.173735154],[255475.749701893,6871526.282438613],[255446.676913298,6871562.016741958],[255437.719013139,6871574.036046082],[255433.213361901,6871580.983769817],[255430.097722549,6871589.302578149],[255427.77441873,6871601.501607297],[255427.19787715,6871609.428174308],[255427.406860825,6871618.575216763],[255429.368301411,6871629.952213017],[255429.811397253,6871639.57386653],[255427.843419997,6871651.252846425],[255427.250742815,6871662.826094929],[255430.223911795,6871677.081048338],[255433.668901022,6871692.165252732],[255435.529754479,6871707.260908351],[255436.157375301,6871730.61170216]]}","chemin rural","2026-06-22","PLOUBAZLANEC","2026-03-07","ZH(84) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[238316.728327948,6851173.521005386],[238327.535276677,6851147.825749991],[238334.859064685,6851140.121317784],[238348.661578575,6851126.560155591],[238356.020149872,6851114.302829698],[238360.4368613,6851102.477293762],[238363.297960556,6851093.545116812],[238366.985097733,6851087.514727958],[238358.022192241,6851067.179411003],[238356.690058254,6851058.135894717],[238355.829046753,6851051.746893631],[238352.852255854,6851039.518668592],[238349.327541529,6851026.265515107],[238344.080445437,6851014.858702939]]}","chemin rural","2021-02-15","PEDERNEC","2020-12-07","A(529,539) commune"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[332307.952464873,6832989.248900561],[332304.936397864,6832998.087790625],[332302.730733424,6833007.040006938],[332302.000535641,6833016.779699351],[332302.075046416,6833025.933213666],[332302.950767989,6833034.070854325],[332305.311961563,6833044.225100221],[332313.464267739,6833088.130048949]]}","chemin rural","2025-12-15","LA VICOMTE-SUR-RANCE","2025-06-12","CR 1"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[230419.895558492,6803098.70051467],[230419.814115144,6803100.81240488],[230403.841230568,6803125.464161816],[230375.03593789,6803204.223570574],[230358.958892165,6803257.498399587],[230356.106547764,6803277.814195783]]}","chemin rural","2026-06-22","MELLIONNEC","2025-12-18","CR146"
"{""type"":""LineString"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:2154""}},""coordinates"":[[239878.303001064,6844072.473660178],[239866.011447355,6844109.3200123]]}","chemin rural","2026-06-22","MOUSTERU","2025-12-12","ZP(44) commune"
