Commune;Commune 2;Numéro voie;Nom voie;INSEE;EPCI;Canton;Arrondissement;Numéro de tronçon;Identifiant tronçon;Code itinéraire;PNR Perche;PROPAGEACC;Statut;Propriétaire;Type propriété;Date inscription PDIPR;Date délibération commune;PDF délibération commune;URL délibération commune;Date délibération CD;PDF délibération CD;URL délibération CD;geo_point_2d;geo_shape;Longueur;OBJECTID;SHAPE_LENG;st_length(shape)
La Puisaye;;16;de la Puisaye au Mineray;28310;Forêts du Perche;Saint-Lubin-des-Joncherets;DREUX;tr4.1;tr4.1-28310;F15.E-28310,F15.H1-28373,GRPVBA-28373;Non;1;Chemin rural;Commune;Domaine privé de la commune;2006-12-01;2003-04-02;;;;;;48.612498793329124, 0.9607884035197266;"{""coordinates"": [[0.9629097838239884, 48.61477779593934], [0.9627904396817117, 48.6145744875893], [0.9618435216408734, 48.61354893709351], [0.9613097398587719, 48.61317399583278], [0.9605257426166864, 48.612333668062504], [0.9598625435764069, 48.61162554931349], [0.9595810889586115, 48.6112257212918], [0.9593829186996048, 48.61078977983046], [0.9590841496813973, 48.61057515151229], [0.9587828959986321, 48.61013661182985]], ""type"": ""LineString""}";603;1;603.49667301;603.4966730150953
Saint-Germain-le-Gaillard;;10;dit chemin perdu;28339;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr5.1;tr5.1-28339;FVTT6.B-28116;Non;1;Chemin rural;Commune;Domaine privé de la commune;2009-07-03;2009-03-24;;;;;;48.432188835205785, 1.2526629091055543;"{""coordinates"": [[1.2479057829643196, 48.43242738298574], [1.2484733405526662, 48.432341902795265], [1.2498032112192448, 48.43212206569075], [1.2516197889661307, 48.43213909208752], [1.254534873511575, 48.43219469034636], [1.2566852385853096, 48.43217832899095], [1.2574386968041615, 48.43221065479961]], ""type"": ""LineString""}";709;12;709.44129828;709.4412982782652
Saint-Éliph;;43;de St Eliph à St Victor de Buthon;28335;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr3.1;tr3.1-28335;F*.2-28214,GR35-28000;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2013-11-08;2013-06-07;;;;;;48.43478543886578, 1.0017830347059058;"{""coordinates"": [[1.0054038033927868, 48.43682948527469], [1.0041521022700057, 48.43627069843025], [1.0034909361483915, 48.436131593106616], [1.002884657380387, 48.43596066783873], [1.0026240389668342, 48.43575686708412], [1.002141056708744, 48.43551955810373], [1.0016181916658327, 48.435112377617045], [1.0009038660777716, 48.43418020585904], [0.999958388350198, 48.43346637067291], [0.999304128475017, 48.43284960757628], [0.9990280996620554, 48.43246398212901], [0.9989265903764611, 48.432227784695485], [0.9990052022645622, 48.43189483601857]], ""type"": ""LineString""}";763;13;763.41288851;763.4128885106965
Saint-Éliph;;14;de l'Augerie au Favril;28335;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr11.1;tr11.1-28335;;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2013-11-08;2013-06-07;;;;;;48.4657094680625, 1.0672519717937978;"{""coordinates"": [[1.074269183068204, 48.46216250171626], [1.0741658445438675, 48.462278538364686], [1.0739301673967607, 48.462417143941984], [1.073601677798457, 48.46248676943737], [1.0733611002291177, 48.462571756568686], [1.0728835798091263, 48.462975600315325], [1.072452857791648, 48.46322066494492], [1.0720960190216546, 48.46343272694257], [1.0694509244481682, 48.46497545321141], [1.0687526389073367, 48.46541766603304], [1.0684595185067918, 48.4656486111296], [1.067641339419726, 48.46584601016122], [1.0657919858938159, 48.466190891736815], [1.0654653541929249, 48.46631056977676], [1.064845052846161, 48.4666754591019], [1.064322891072087, 48.466970812237946], [1.0632226921472498, 48.46741685877546], [1.0625765804838478, 48.467752744865024], [1.0600444283387422, 48.46895946806732]], ""type"": ""LineString""}";1315;15;1315.16715862;1315.1671586229093
Saint-Éliph;;3;de St Eliph à Vaupillon;28335;Terres du Perche;Nogent-le-Rotrou;NOGENT-LE-ROTROU;tr17.1;tr17.1-28335;F*.1-28214;Oui;1;Chemin rural;Commune;Domaine privé de la commune;2013-11-08;2013-06-07;;;;;;48.45392809181624, 1.014495006430505;"{""coordinates"": [[1.0231999618582364, 48.45077622376161], [1.0226269523722988, 48.450916767894974], [1.0215493576884849, 48.45134051637544], [1.0207823998771695, 48.45184806300398], [1.0206745095586196, 48.45207555121152], [1.0204625504453333, 48.452436823311615], [1.0202352448111858, 48.45259490799407], [1.0189022350132355, 48.45259557621345], [1.0178042333717594, 48.45275373951028], [1.0168302112714704, 48.45295473489401], [1.0160776433899865, 48.453096922284566], [1.0152434910811092, 48.453247975265384], [1.0143999051430996, 48.453330776610514], [1.0133273787033716, 48.45365249751294], [1.0122377568394427, 48.45406841209183], [1.0118618604373584, 48.45430617018777], [1.0114396943613957, 48.45467019649466], [1.0108071998872243, 48.45521709349353], [1.010413929539689, 48.455558724760884], [1.0099246557926524, 48.455894092496145], [1.0094931860728127, 48.456004607369465], [1.0089569835794299, 48.45603237291685], [1.0085363223402204, 48.45610462967321], [1.00804827347351, 48.456371976382], [1.007546216396231, 48.45672219610747], [1.0073283891657268, 48.45691568664049], [1.00692349917384, 48.457397471900784], [1.0065023732844325, 48.457722581710165], [1.006093560562303, 48.457901402647366]], ""type"": ""LineString""}";1578;19;1578.05272778;1578.0527277822248
Saint-Luperce;;16;d'Araumond au Lavoir de Blanville;28350;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr4.1;tr4.1-28350;FVTT6.B-28116,GRPVE-28134;Non;1;Sentier rural;Commune;Domaine privé de la commune;2007-11-09;2007-08-16;;;;;;48.44655840617176, 1.2917495831303327;"{""coordinates"": [[1.2902174969038944, 48.449140784653935], [1.2905343351816756, 48.44875251280613], [1.290806568912923, 48.44830028051706], [1.290686999891734, 48.44795252805919], [1.290790625570139, 48.44775030422027], [1.2909402894141795, 48.44755008855185], [1.290904539391546, 48.44704034199743], [1.2909490818576284, 48.446455033935976], [1.2909272194366568, 48.44607230774035], [1.291008147787839, 48.44596277488898], [1.2934267773728159, 48.44533213101688], [1.294180280816906, 48.44512453132649], [1.2944096427693794, 48.445035908564385]], ""type"": ""LineString""}";641;23;641.56222406;641.5622240559227
Saint-Luperce;;17;d'Hartencourt à la Gadelière;28350;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr9.1;tr9.1-28350;GRPVE-28134;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-11-09;2007-08-16;;;;;;48.43458253079187, 1.325726188877956;"{""coordinates"": [[1.3230270589327187, 48.437672694003766], [1.3234156726251667, 48.43709964477417], [1.3237287316329112, 48.436707660382815], [1.324158765854705, 48.43618161998505], [1.324301202746975, 48.436090779175416], [1.3247951071213817, 48.43611198019387], [1.3251717894082085, 48.4360049909698], [1.325631325998175, 48.435781003914585], [1.3264514151307818, 48.43497118789118], [1.3266225995998633, 48.43482003945491], [1.3272024706288275, 48.43447466348117], [1.3272640834576857, 48.43435108977462], [1.3275114611267425, 48.43387190782149], [1.3275215983711, 48.43372205823194], [1.327323436333646, 48.43362491728437], [1.3267911797527443, 48.433509595884296], [1.3264374171239346, 48.43338892903892], [1.326172278341085, 48.43328876446384], [1.3261276411853546, 48.43317385495317], [1.3265177162974133, 48.4324307983121], [1.3265396496081325, 48.43220114431927], [1.3263281577018182, 48.43210173752936], [1.325764346068298, 48.431943789505794], [1.3253475725472366, 48.431615772854606]], ""type"": ""LineString""}";934;24;934.01108992;934.0110899200479
Saint-Luperce;;25;dit des Devises;28350;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr13.1;tr13.1-28350;FVTT6.B-28116;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-11-09;2007-08-16;;;;;;48.442090755234446, 1.2964420373494177;"{""coordinates"": [[1.2909792726922538, 48.44198562851516], [1.2917870444459532, 48.442041901000174], [1.292457379262071, 48.442006728849435], [1.2931285647246333, 48.441915378992626], [1.294469209297536, 48.44181561402072], [1.2951710726897212, 48.44185594099795], [1.296065136856757, 48.44198139184406], [1.29658932064669, 48.44209307990145], [1.2973554155806006, 48.44219335631046], [1.2983744276182037, 48.442356775756615], [1.2989702510204062, 48.44246650376918], [1.299483151567823, 48.44251254379986], [1.2999884731579237, 48.44243670300843], [1.3004891092424204, 48.44225156403878], [1.3007762111641703, 48.44213871530894], [1.3018142745867032, 48.44179894153522]], ""type"": ""LineString""}";830;26;830.77591235;830.7759123486932
Chuisnes;;59;;28099;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr4.1;tr4.1-28099;;Non;1;Chemin rural;Commune;Domaine privé de la commune;2007-03-07;2007-07-17;;;;;;48.45669115825944, 1.2066163164050734;"{""coordinates"": [[1.2073743434617714, 48.456861111333666], [1.2065955615002586, 48.456690304830985], [1.2060544349798954, 48.456562131814735], [1.2058615701484987, 48.4565077899785]], ""type"": ""LineString""}";118;31;118.58685862;118.58685861560726
Chuisnes;;41;dit du Bois des Fourches;28099;Entre Beauce et Perche;Illiers-Combray;CHARTRES;tr7.1;tr7.1-28099;TCentre.23-28099,GRPVE-28134;Non;1;Chemin rural;Commune;Domaine privé de la commune;2008-03-07;2007-07-17;;;;;;48.45002582315294, 1.2021600868410673;"{""coordinates"": [[1.1998721376392483, 48.45127480978524], [1.2011965281639942, 48.45066514730802], [1.2021747178362876, 48.45016212736852], [1.20294826051069, 48.44967742914183], [1.203479596104571, 48.449367625140646], [1.2037831405731076, 48.448811521454374], [1.203911925590981, 48.4484991943738], [1.2039883912518208, 48.4483039282619]], ""type"": ""LineString""}";465;33;465.53700448;465.5370044788835
